lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,PG_2021.03.04_US-Views-on-China_FINAL,Research report / Introduction,"Among all valid respondents,  how many rep/lean rep independents (the exact number, not the ratio) favor building a strong relationship with China on trade? Please give your answer to the nearest hundred, such as 100, 200 or 300....","[5905, 6484, 5904, 7961, 5925, 6524, 8374, 7772, 6156, 7771]","[6589, 6503]",Not Found,0.0
0.5,PG_2021.03.04_US-Views-on-China_FINAL,Research report / Introduction,Please list all countries whose power and influence respondents would like to see diminished in the results of this report on Questions Q41a-t.,"[16689, 16697, 16700, 7112, 7301, 8128, 8652, 7508, 16645, 16704]",[6414],Not Found,0.0
0.5,PG_2020.03.09_US-Germany_FINAL,Research report / Introduction,What's the percentage value of west Germany respondents viewing Germany's relationship with the United States is as important as its relationship with Russia?,"[5977, 6058, 5984, 5981, 5986, 5974, 5983, 6056, 5979, 5982]",[6068],Not Found,0.0
0.5,PG_2020.03.09_US-Germany_FINAL,Research report / Introduction,"Enumerate all chapter names (for example, Sharp divides in German and American views of security issues, from use of force to defense budgeting) that discussed the relationship between Germany or the U.S. with NATO. Your answer should be a list.","[5987, 5972, 5988, 5971, 5970, 6414, 5999, 5965, 14429, 6024]","[5987, 6077]",1,0.5
0.5,PG_2020.03.09_US-Germany_FINAL,Research report / Introduction,"List all titles of the charts (for example, Americans and Germans diverge sharply in their views of bilateral relations) in which the results are grouped by political affiliation.","[5974, 5977, 5978, 5980, 5981, 5979, 5973, 5975, 5976, 6079]","[6051, 6084, 6032, 6038, 6009]",Not Found,0.0
0.5,efd88e41c5f2606c57929cac6c1c0605,Research report / Introduction,Which individual lead this program?,"[19464, 1239, 19764, 6551, 20484, 922, 20342, 16098, 21969, 19463]",[21950],Not Found,0.0
0.5,efd88e41c5f2606c57929cac6c1c0605,Research report / Introduction,How many chapters are in this report?,"[21929, 21915, 21888, 21894, 21923, 21936, 21921, 21920, 21918, 21919]",[21882],Not Found,0.0
0.5,efd88e41c5f2606c57929cac6c1c0605,Research report / Introduction,What are the last 4 chapters listed in the table of contents?,"[21888, 21929, 21918, 21923, 21915, 21921, 21920, 21894, 21919, 21881]",[21882],Not Found,0.0
0.5,efd88e41c5f2606c57929cac6c1c0605,Research report / Introduction,"List the no. of chapters including research highlight. The answer shall be formatted as a list, for example, [""Chapter 5"", ""Chapter 8""].","[21921, 21918, 21920, 21919, 21888, 21929, 21881, 21923, 21882, 21883]","[21928, 21882]",9,0.5
0.5,edb88a99670417f64a6b719646aed326,Administration/Industry file,"Where is the complainant from? Your answer should be formatted as ""[City], [State]""","[21696, 21756, 21799, 21818, 21813, 21700, 21836, 21712, 21794, 10780]",[21702],Not Found,0.0
0.5,avalaunchpresentationsthatkickasteriskv3copy-150318114804-conversion-gate01_95,Tutorial/Workshop,How many reasons your presentation needs for asterisk kicked?,"[16744, 16803, 16804, 10250, 8143, 14389, 14390, 2123, 18946, 8144]","[16752, 16754, 16747, 16750]",Not Found,0.0
0.5,asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95,Research report / Introduction,"In the year in which Palestine was added to the survey, respondents who believe traditional values are outdated increased by how many percentage points compared to 2011?","[16644, 16640, 16641, 16643, 16721, 16639, 6163, 7670, 7661, 16615]","[16641, 16627, 16631]",3,0.33
0.5,asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95,Research report / Introduction,Which country had the highest percentage of respondents for whom traditional values mean a lot?,"[16643, 16644, 16639, 16641, 16721, 16640, 16718, 7301, 16627, 9460]","[16641, 16645]",4,0.5
0.5,asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95,Research report / Introduction,What is the 8th (out of top10) findings listed in this presentation?,"[18984, 16737, 16734, 8096, 7445, 21943, 20046, 6357, 6750, 9371]",[16708],Not Found,0.0
0.5,asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95,Research report / Introduction,"Among the top 10 findings, how many of them are supported by statistical results grouped by the countries?","[18984, 8949, 5209, 21929, 5986, 8279, 5317, 6630, 8931, 9371]","[16672, 16641, 16675, 16645, 16718, 16689]",Not Found,0.0
0.5,asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95,Research report / Introduction,"According to this survey, which country’s youth show the greatest concern about unemployment problem?","[16734, 1790, 1777, 5982, 5985, 5983, 5986, 5984, 16659, 16737]","[16672, 16675]",Not Found,0.0
0.5,PIP_Seniors-and-Tech-Use_040314,Research report / Introduction,"How many people who do not go online or only use SNS in the Older Adults and Technology by Princeton Survey Research Associates International from July 18 to September 30, 2013?","[6755, 6864, 6775, 6860, 6815, 6787, 6777, 6846, 6771, 6773]","[6789, 6790, 6791, 6792, 6793]",Not Found,0.0
0.5,PIP_Seniors-and-Tech-Use_040314,Research report / Introduction,"What is the percentage gap between male 65+ age group who use internet and  broadband at home in the Pew Research Center’s Internet Project July 18-September 30, 2013 tracking survey? Please write the answer into float format.","[6755, 5831, 6818, 6751, 8949, 7635, 9920, 9940, 8536, 8068]","[6805, 6815]",Not Found,0.0
0.5,PIP_Seniors-and-Tech-Use_040314,Research report / Introduction,"Among the Higher-income seniors, what are the percentage of them go online, has smartphone phone, and own a tablet computer? Please write the answer in the list format and in descend order,e.g., [""9%"",""8%""] in the Pew Research Center’s Internet Project July 18-September 30, 2013 tracking survey?","[6784, 6782, 6854, 6824, 6764, 6829, 6812, 6781, 6777, 6767]","[6824, 6805, 6832, 6815]",4,0.25
0.5,PIP_Seniors-and-Tech-Use_040314,Research report / Introduction,"How many 65+ age group people go online 3-5 times per week or Every day in the Pew Research Center’s Internet Project July 18-September 30, 2013 tracking survey?","[6755, 6818, 5831, 6751, 6745, 6286, 8900, 7635, 9920, 6302]","[6777, 6870]",Not Found,0.0
0.5,PIP_Seniors-and-Tech-Use_040314,Research report / Introduction,"What is the gap of 65+ people with College graduate contain a cell phone and a tablet computer in the Pew Research Center’s Internet Project July 18-September 30, 2013 tracking survey. ? ","[6818, 6755, 7414, 6906, 7631, 8186, 6557, 8854, 8038, 6273]","[6889, 6874, 6884, 6879]",Not Found,0.0
0.5,PIP_Seniors-and-Tech-Use_040314,Research report / Introduction,"What is the gap between male 65+ age group who use internet and  broadband at home in the Pew Research Center’s Internet Project July 18-September 30, 2013 tracking survey? Please write the answer into float format. ","[6818, 5831, 6755, 6751, 8389, 8949, 9940, 9920, 9918, 7417]","[6874, 6870]",Not Found,0.0
0.5,caltraincapacitymountainview1-150701205750-lva1-app6891_95,Research report / Introduction,How many figures of trains are appeared in the documents?,"[17947, 17944, 17952, 17955, 17967, 17954, 17894, 17893, 17896, 17891]","[17955, 17959, 17960, 17965, 17972, 17975, 17944, 17947, 17951]",1,0.33
0.5,caltraincapacitymountainview1-150701205750-lva1-app6891_95,Research report / Introduction,How many colors are in the slide 14?,"[16754, 20802, 38, 391, 18347, 16067, 18274, 20713, 15144, 16954]","[17920, 17922, 17923, 17924, 17925, 17926, 17927, 17928]",Not Found,0.0
0.5,digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95,Tutorial/Workshop,"In 24 months after the date of the presentation, what is expected to happen to the value of data visualization?","[1958, 510, 11590, 6678, 19471, 558, 7179, 5116, 19395, 1692]",[19593],Not Found,0.0
0.5,digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95,Tutorial/Workshop,Did more respondents say they are Product/Brand Focused or Customer Focused?,"[19616, 19619, 19066, 19062, 19031, 18978, 18976, 18980, 18974, 21689]","[19616, 19613]",1,0.5
0.5,digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95,Tutorial/Workshop,"How many shapes and colors of the shapes in the Slide 9? Please write the answer in the list format, e.g., [1,2]","[17767, 17658, 14494, 15554, 17502, 17537, 660, 18574, 661, 14820]","[19584, 19585, 19580, 19581, 19582, 19583]",Not Found,0.0
0.5,digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95,Tutorial/Workshop,What is the subtraction result of ability to get the data's percentage and concerns with the data's percentage in slide 11?,"[19590, 4122, 6275, 4125, 7463, 19865, 7464, 17688, 4123, 7632]","[19587, 19590]",1,0.5
0.5,digitalmeasurementframework22feb2011v6novideo-110221233835-phpapp01_95,Tutorial/Workshop,"What is the sum of the total number of paid search's conversions in the year of 2007, 2008 and the number of green bars in the heroes happen here launch?","[20110, 19985, 20107, 20111, 19913, 20273, 20200, 20001, 19893, 20014]","[19921, 19985, 19923, 19924, 19925]",2,0.2
0.5,bdf54dxa,Guidebook,Which step in the figure at the top of page 10 poured the salt to the dishwasher? Write the answer in int format.,"[17302, 17398, 17500, 17530, 17563, 17373, 17533, 17487, 17591, 17561]",[17315],Not Found,0.0
0.5,bdf54dxa,Guidebook,How many figures in page 13 contains the left arrows? Write down the number in float format with 2 decimals.,"[15136, 19441, 14868, 20495, 20598, 15184, 15185, 17707, 17706, 5184]","[17345, 17346, 17342, 17343]",Not Found,0.0
0.5,bdf54dxa,Guidebook,"In the adjusting the upper basket step, how many up arrows are contained in the figures? Write down the answers in float format with 1 decimal.","[17339, 17619, 17342, 17569, 17341, 17572, 17575, 17538, 17349, 17573]",[17351],Not Found,0.0
0.5,bdf54dxa,Guidebook,"To built-in install for the integrated diswasher model,  how many mm should the diswasher leave between the cabinet bottom and floor?","[17462, 17460, 17477, 17525, 17482, 17528, 17484, 17486, 17483, 17479]",[17461],Not Found,0.0
0.5,bdf54dxa,Guidebook,How many possible problems does the diswasher may encounter before calling for service?,"[17491, 17493, 15584, 15582, 15583, 17492, 17640, 17494, 15580, 15581]","[17492, 17493, 17494, 17495]",2,0.75
0.5,PP_2019.01.17_Trump-economy_FINAL2,Research report / Introduction,What is the proportion of people who say they are very confident in Trump's ability to handle an international crisis?,"[7696, 7690, 7691, 7705, 7701, 7703, 7700, 7766, 7706, 7774]",[7697],Not Found,0.0
0.5,PP_2019.01.17_Trump-economy_FINAL2,Research report / Introduction,What is the percentage difference between the proportion of people who are very confident in Trump's ability to make wise decisions about immigration policy and those who are not confident at all?,"[7696, 7691, 7705, 7699, 7701, 7703, 7700, 7706, 7663, 7702]",[7697],Not Found,0.0
0.5,PP_2019.01.17_Trump-economy_FINAL2,Research report / Introduction,"In 2019, what is the percentage difference between those who are not too confident that Robert Mueller is conducting a fair investigation into Russian involvement in the 2016 election and those who were very confident in January 2018?","[7764, 7777, 7770, 7680, 7775, 7774, 7768, 7766, 7706, 7716]","[7778, 7771, 7772]",Not Found,0.0
0.5,PP_2019.01.17_Trump-economy_FINAL2,Research report / Introduction,"In 2019, by what percentage is the total proportion of people who say they expect their personal financial situation to improve some or a lot over the course of the next year higher than the proportion of those saying jobs are difficult to find in their community?","[7795, 6698, 6627, 6708, 6705, 6683, 6693, 7794, 6647, 6628]","[7786, 7787, 7796, 7797, 7804]",Not Found,0.0
0.5,PG_2020.05.21_International-Cooperation-COVID_FINAL,Research report / Introduction,How many EU people believe that they will have more influence in world affairs after the coronavirus outbreak compared to before the outbreak?,"[6252, 6248, 6265, 6259, 6266, 6255, 6147, 6267, 6264, 6249]","[6249, 6253]",10,0.5
0.5,PG_2020.05.21_International-Cooperation-COVID_FINAL,Research report / Introduction,"In the United States, which group has the highest proportion of people who believe that the U.S. will have less influence in world affairs after the coronavirus outbreak compared to before the outbreak?","[6252, 6266, 6256, 6248, 6265, 6140, 6259, 6249, 6255, 6147]","[6249, 6253]",8,0.5
0.5,PG_2020.05.21_International-Cooperation-COVID_FINAL,Research report / Introduction,How many Hispanics believe the U.S. can learn a great deal from other countries around the world about ways to slow the spread of coronavirus?,"[6199, 6155, 6151, 6158, 6121, 6156, 6154, 6157, 6207, 6208]","[6146, 6156]",6,0.5
0.5,PG_2020.05.21_International-Cooperation-COVID_FINAL,Research report / Introduction,"What is the percentage difference between the proportion of people who believe the U.S. should help other countries deal with their problems and those who believe the U.S. has done a poor job in dealing with the coronavirus outbreak?

","[6177, 6174, 6139, 6144, 6162, 6138, 6160, 6172, 6178, 6484]","[6177, 6187]",1,0.5
0.5,PG_2020.05.21_International-Cooperation-COVID_FINAL,Research report / Introduction,"In the United States, by what percentage is the proportion of people who believe the World Health Organization has done a good job in dealing with the coronavirus outbreak lower than the proportion of people who believe the U.S. has done a good job in dealing with the coronavirus outbreak?","[6122, 6217, 6214, 6218, 6141, 6215, 6146, 6241, 6118, 6212]","[6177, 6218, 6187]",4,0.33
0.5,PG_2020.05.21_International-Cooperation-COVID_FINAL,Research report / Introduction,How many more people over 65 years old do not trust information from the World Health Organization compared to postgraduates who do not trust information from the European Union in regard to the coronavirus outbreak?,"[6236, 6241, 6237, 6147, 6239, 6235, 6234, 6240, 6221, 6122]","[6226, 6237]",3,0.5
0.5,afe620b9beac86c1027b96d31d396407,Financial report,What are the bankers' names associated with GODFREY PHILLIPS INDIA LIMITED? ,"[16340, 16446, 16441, 16434, 16442, 16435, 16443, 16445, 16444, 16407]",[16348],Not Found,0.0
0.5,afe620b9beac86c1027b96d31d396407,Financial report,Where are the two plants of GODFREY PHILLIPS INDIA LIMITED located?,"[16340, 16441, 16446, 16434, 16435, 16407, 16442, 16443, 16444, 16445]",[16424],Not Found,0.0
0.5,afe620b9beac86c1027b96d31d396407,Financial report,Who are the non-executive and independent directors of GODFREY PHILLIPS INDIA LIMITED? Enumerate all of them in a list.,"[16340, 16441, 16435, 16442, 16446, 16434, 16445, 16443, 16444, 16448]",[16370],Not Found,0.0
0.5,afe620b9beac86c1027b96d31d396407,Financial report,"What are the years specified in the pie chart of the document? Format all of the years in a list like ['2006', '2007', '2011']","[6655, 16641, 20806, 3817, 18443, 21335, 17692, 21299, 16711, 3496]",[16248],Not Found,0.0
0.5,afe620b9beac86c1027b96d31d396407,Financial report,How many figures are there in total in the article?,"[2791, 2777, 2723, 2553, 3993, 494, 3411, 2643, 9091, 3440]","[16263, 16284, 16248, 16409, 16250, 16252]",Not Found,0.0
0.5,afe620b9beac86c1027b96d31d396407,Financial report,"As the Chairman of the Board who serves as the President of the Society of Indian Law Firms (Western Region), how many membership of Board of other companies does he have?","[16377, 16376, 16370, 16369, 1998, 1999, 2000, 1993, 2015, 2014]","[16376, 16370, 16373]",2,0.67
0.5,e79deb02a0c0e87511080836c5d4347b,Administration/Industry file,What are the words written in the first rectangle on the top of the page two?,"[21279, 17770, 18848, 16625, 21787, 20543, 20049, 11426, 19108, 16836]","[21088, 21089, 21103]",Not Found,0.0
0.5,e79deb02a0c0e87511080836c5d4347b,Administration/Industry file,WHAT IS THE 2nd OBJECTIVE OF REGULATORY EFFICIENCY?,"[21099, 21101, 21102, 21100, 21123, 21121, 20786, 13897, 12963, 12693]",[21105],Not Found,0.0
0.5,e79deb02a0c0e87511080836c5d4347b,Administration/Industry file,How many people are there in the images on the cover?,"[12013, 12265, 10874, 12041, 400, 10650, 21070, 21067, 12057, 11679]","[21063, 21065, 21066, 21067, 21068, 21070]",7,0.33
0.5,e79deb02a0c0e87511080836c5d4347b,Administration/Industry file,How many cats are there in the images on page 1?,"[17214, 17211, 18280, 11968, 286, 18289, 18290, 289, 12013, 17217]","[21063, 21065, 21066, 21067, 21068, 21070]",Not Found,0.0
0.5,e79deb02a0c0e87511080836c5d4347b,Administration/Industry file,What is the title of the diagram on page 9?,"[17473, 17470, 17379, 17436, 17464, 17500, 17354, 20326, 15601, 17461]",[21255],Not Found,0.0
0.5,e79deb02a0c0e87511080836c5d4347b,Administration/Industry file,What are the top2 texts of the red words in the document?,"[17717, 20734, 21423, 20696, 20758, 20693, 16734, 15793, 19363, 17880]","[21090, 21092]",Not Found,0.0
0.5,e79deb02a0c0e87511080836c5d4347b,Administration/Industry file,How many strengths and weaknesses are metioned in Appendix C? Represent these two numbers as format of list.,"[21256, 5349, 10380, 11074, 10345, 21077, 21124, 9905, 10129, 10126]","[21258, 21259]",Not Found,0.0
0.5,e79deb02a0c0e87511080836c5d4347b,Administration/Industry file,How many appendices appear in the document?,"[21076, 21077, 9905, 21883, 10380, 6736, 10126, 14597, 14596, 6615]","[21124, 21256, 21265, 21268, 21246]",Not Found,0.0
0.5,e79deb02a0c0e87511080836c5d4347b,Administration/Industry file,How many people are there in total in the MQA Executive Leadership and the Prosecution Services Staff?,"[21130, 21131, 21129, 21128, 21250, 21249, 21127, 21144, 21248, 21133]","[21190, 21191, 21128, 21129, 21130, 21131, 21192, 21193]",1,0.5
0.5,chapter8-geneticscompatibilitymode-141214140247-conversion-gate02_95,Tutorial/Workshop,How many steps are involved in the binary fission of prokaryotic cells?,"[18688, 18695, 18691, 18690, 18955, 18686, 18698, 18696, 18726, 18720]","[18697, 18698, 18694]",7,0.33
0.5,chapter8-geneticscompatibilitymode-141214140247-conversion-gate02_95,Tutorial/Workshop,What are the three steps of binary fission of a prokaryotic cell?,"[18695, 18691, 18688, 18690, 18955, 18686, 18696, 18698, 18726, 18732]","[18697, 18698, 18694]",8,0.33
0.5,chapter8-geneticscompatibilitymode-141214140247-conversion-gate02_95,Tutorial/Workshop,"Which chapters are included in the slide? Your answer should be formatted as a list like ['Chapter 1', 'Chapter 3'].","[18672, 14567, 14902, 18876, 14926, 14699, 14905, 21921, 21907, 21927]","[18672, 18794, 18876]",1,0.67
0.5,chapter8-geneticscompatibilitymode-141214140247-conversion-gate02_95,Tutorial/Workshop,How many full faces of people appear in the slide?,"[18505, 645, 644, 646, 18508, 19676, 18501, 18507, 651, 17753]","[18866, 18834]",Not Found,0.0
0.5,chapter8-geneticscompatibilitymode-141214140247-conversion-gate02_95,Tutorial/Workshop,Which stages of cell division are shown on slides 12 and 14?,"[18739, 18788, 18790, 18726, 18753, 18725, 18738, 18722, 18712, 18709]","[18723, 18724, 18725, 18736, 18737, 18738]",6,0.33
0.5,ecommerceopportunityindia-141124010546-conversion-gate01_95,Research report / Introduction,What multiple of the 2014 e-commerce sales was achieved in 2018?,"[169, 79, 519, 21680, 170, 172, 171, 21619, 168, 107]",[21630],Not Found,0.0
0.5,ecommerceopportunityindia-141124010546-conversion-gate01_95,Research report / Introduction,How many people in India were using a debit card when the e-commerce sales reached 11 billion?,"[167, 68, 169, 599, 170, 79, 172, 21652, 171, 21619]","[21645, 21630]",Not Found,0.0
0.5,ecommerceopportunityindia-141124010546-conversion-gate01_95,Research report / Introduction,What is the CAGR of television from 2012 to 2016?,"[4020, 21626, 21627, 4022, 856, 857, 1462, 15699, 15737, 4023]","[21625, 21623]",Not Found,0.0
0.5,ecommerceopportunityindia-141124010546-conversion-gate01_95,Research report / Introduction,How many types of ecosystem players are listed in the slide?,"[19026, 19077, 19072, 21689, 19078, 19075, 19073, 19041, 19074, 19079]","[21668, 21670]",Not Found,0.0
0.5,ecommerceopportunityindia-141124010546-conversion-gate01_95,Research report / Introduction,How many 'Pioneers' and people on the cover of the slides are there in total in the slide?,"[21276, 20266, 19148, 19147, 19564, 19326, 18369, 19357, 17753, 19883]","[21585, 21682, 21586, 21685, 21624]",Not Found,0.0
0.5,catvsdogdlpycon15se-150512122612-lva1-app6891_95,Tutorial/Workshop,The overlap of which two capabilities is considered the danger zone?,"[19706, 19693, 20315, 20318, 981, 11909, 19794, 19694, 11051, 10551]",[18449],Not Found,0.0
0.5,catvsdogdlpycon15se-150512122612-lva1-app6891_95,Tutorial/Workshop,What types of animals appear in the PPT?,"[18853, 11490, 16851, 476, 21996, 18769, 20465, 19429, 18483, 18796]","[18377, 18445]",Not Found,0.0
0.5,catvsdogdlpycon15se-150512122612-lva1-app6891_95,Tutorial/Workshop,How many layers does the neural network mentioned in the PPT for distinguishing faces have?,"[18603, 18508, 18591, 18542, 18504, 18544, 18513, 4884, 18541, 18505]","[18503, 18504, 18505, 18507, 18508, 18513]",2,0.67
0.5,catvsdogdlpycon15se-150512122612-lva1-app6891_95,Tutorial/Workshop,Which animal did the detector ultimately recognize the person as?,"[18622, 18378, 11862, 18623, 17159, 11863, 10389, 17604, 15430, 16748]","[18626, 18629, 18634, 18636, 18637, 18622]",1,0.17
0.5,catvsdogdlpycon15se-150512122612-lva1-app6891_95,Tutorial/Workshop,How many libraries were imported in the code section of the PPT?,"[15782, 18603, 18576, 18606, 5262, 18584, 18665, 18586, 18620, 18597]",[18574],Not Found,0.0
0.5,SnapNTell,Academic paper,"In the SnapNTell model architecture, what is the image used as an example input in the paper?","[11954, 11864, 11820, 11968, 10306, 11812, 10341, 11941, 11878, 11897]",[11863],Not Found,0.0
0.5,SnapNTell,Academic paper,"In the 3rd Wiki filtering, how many more entities were filtered out compared to the 1st Wiki filtering?","[11945, 11944, 11946, 11835, 11937, 17372, 15170, 17370, 17369, 11936]","[11945, 11934]",1,0.5
0.5,SnapNTell,Academic paper,How many times do various sizes of the Eiffel Tower appear in the image?,"[11811, 11945, 11863, 11954, 11946, 12308, 10917, 11687, 11373, 11374]","[11811, 11945, 11949, 11954, 11863, 11934]",1,0.67
0.5,SnapNTell,Academic paper,How many times does the image of The Acropolis Museum appear in the paper?,"[11968, 11978, 10985, 12376, 11494, 12372, 10981, 11499, 11308, 11500]","[11968, 11977]",1,0.5
0.5,SnapNTell,Academic paper,How many years after The Chapel Bridge was The Acropolis Museum completed? Return me an integer.,"[11968, 11978, 12376, 10985, 11499, 11364, 11500, 11298, 10983, 12374]","[11984, 11977]",Not Found,0.0
0.5,RAR,Academic paper,"In the Ranking Prompt Example, what is the correct type of the car provided?","[10328, 10327, 10398, 10399, 10326, 11249, 11169, 10333, 10391, 11153]","[10328, 10321]",1,0.5
0.5,RAR,Academic paper,"In the example image for extending RAR to zero-shot recognition on object detection datasets, how many bounding boxes (bboxes) are there in total?","[10321, 10357, 10320, 10392, 10297, 10360, 10288, 10340, 10432, 11948]","[10321, 10318]",1,0.5
0.5,RAR,Academic paper,How many GPT-4V examples are listed in the paper?,"[11976, 10415, 10416, 5804, 10412, 4161, 4694, 4098, 10391, 4689]","[10386, 10398, 10391]",9,0.33
0.5,RAR,Academic paper,"In the 4-shot classification task, how much higher is the top-5 average accuracy of RAR (LLaVA1.5) compared to the top-1 accuracy?

","[10427, 10426, 10405, 10351, 10411, 10339, 10419, 10406, 10409, 4371]","[10409, 10405, 10414]",3,0.67
0.5,RAR,Academic paper,"In the visualization of the ranking examples and ranking prompt examples, how many images appear in total?","[10328, 10332, 10415, 10398, 10380, 11978, 10326, 11815, 18836, 18834]","[10342, 10349, 10321, 10356, 10357, 10328, 10362, 10334]",1,0.12
0.5,STEPBACK,Academic paper,How many green bars appear in Figure 1?,"[7139, 17857, 5862, 20744, 16648, 20594, 15118, 16669, 17853, 16982]",[11052],Not Found,0.0
0.5,STEPBACK,Academic paper,How much lower is the accuracy of GPT-4 on SituatedQA compared to MMLU Chemistry?,"[11070, 11094, 11052, 11191, 11147, 11192, 11101, 11172, 11105, 11097]","[11083, 11094]",2,0.5
0.5,STEPBACK,Academic paper,How many pie charts are there in the paper?,"[11141, 21444, 9008, 11145, 7881, 16543, 16248, 20578, 861, 21649]","[11097, 11145, 11141]",1,0.67
0.5,STEPBACK,Academic paper,"In the ""Error Analysis of Step-Back Prompting"", what is the sum of the baseline wrong percentages in TimeQA and MMLU high-school Physics?","[11142, 11146, 11097, 11055, 11052, 11169, 11062, 11090, 11147, 11091]","[11097, 11145, 11141]",3,0.33
0.5,User_Manual_1500S_Classic_EN,Guidebook,What temperature does the green color of the coffee machine represent for the milk?,"[15584, 14563, 15326, 14651, 15658, 15272, 14612, 15580, 15536, 15624]",[14726],Not Found,0.0
0.5,User_Manual_1500S_Classic_EN,Guidebook,How many grams of coffee can be put in the manual insert? Return me an integer.,"[14626, 14712, 14794, 15039, 15038, 15040, 15028, 14804, 14790, 14792]","[14785, 14786, 14787, 14794, 14795, 14796]",3,0.17
0.5,User_Manual_1500S_Classic_EN,Guidebook,How many types of main menu functions are there?,"[14855, 14854, 14856, 15652, 14577, 14704, 14705, 15266, 15290, 15456]","[14856, 14858, 14860]",3,0.33
0.5,User_Manual_1500S_Classic_EN,Guidebook,How many coffee quality levels can the coffee machine be set to?,"[14988, 14987, 14989, 15238, 15633, 15580, 15535, 215, 221, 15496]",[14991],Not Found,0.0
0.5,camry_ebrochure,Brochure,What color is the car on the cover?,"[18001, 11026, 20598, 17955, 18014, 19497, 20544, 18032, 18288, 20587]",[17998],Not Found,0.0
0.5,camry_ebrochure,Brochure,How many cars appear on page three?,"[17947, 17944, 18287, 17946, 11602, 18288, 17973, 7010, 7008, 7184]","[18003, 18013, 18014]",Not Found,0.0
0.5,camry_ebrochure,Brochure,What technology does the car’s Wi-Fi Connect use?,"[18050, 18158, 18128, 18188, 18261, 18099, 18143, 18113, 18173, 18246]","[18050, 18051]",1,0.5
0.5,camry_ebrochure,Brochure,How many people appear on pages three and four?,"[17941, 20261, 922, 19875, 20773, 9748, 19676, 2207, 21996, 727]","[18026, 18003, 18020, 18023]",Not Found,0.0
0.5,Pew-Research-Center_Hispanic-Identity-Report_12.20.2017,Research report / Introduction,"According to the 2015 National Survey of Latinos details, which group of Latinos has the largest sample size among the 1500 samples in total?","[10099, 6724, 10101, 10096, 10103, 10095, 10098, 6728, 10109, 10083]","[10099, 10093]",1,0.5
