"lambda_rel","doc_name","domain","question","layout_retrieved","gt","first_hit_rank","recall","source_range"
"0.5","2310.05634v2","Academic paper","For dataset construction, which step takes the most word to describe than the others. ","[22182, 22924, 22897, 22185, 22176, 2897, 3241, 25997, 3816, 22922]","[26144, 26145, 26146, 26147, 26148, 26149, 26150, 26151, 26138, 26141, 26142, 26143]","Not Found","0.0","0-75"
"0.5","2310.05634v2","Academic paper","According to author's definition on conscious incompetence, when can a sentence map to both [NA] and a list of sub-graph knowledge?","[26003, 26047, 26045, 26026, 26144, 26049, 26074, 25996, 25989, 26038]","[26002, 26003, 26004]","1","0.33","0-75"
"0.5","2024.ug.eprospectus","Brochure","Which groups of applicants have the lastest end of application period according to this brochure?","[20906, 1968, 14873, 12582, 14869, 14555, 12654, 14806, 12583, 15063]","[20153]","Not Found","0.0","0-75"
"0.5","2024.ug.eprospectus","Brochure","Among the top 10 reasons why NTU smart campus is for you, which is the reason that does not include any person in the corresponding figure?","[19602, 19587, 19604, 20056, 19601, 8695, 20055, 20039, 20037, 20038]","[19602]","1","1.0","0-75"
"0.5","2024.ug.eprospectus","Brochure","Student from which major has a picture of playing badminton in this brochure?","[20095, 18311, 23834, 22615, 3439, 19734, 23881, 25818, 3527, 24965]","[20097]","Not Found","0.0","0-75"
"0.5","2024.ug.eprospectus","Brochure","Which colleges/schools/institutes from NTU use year 3 students as cover page student model?","[20134, 19683, 19951, 19668, 19699, 19591, 19625, 19680, 19641, 19848]","[19696, 19964, 19967]","Not Found","0.0","0-75"
"0.5","2303.08559v2","Academic paper","What is the performance of filter-then-rerank methods (w.o. ensemble) on 50-shot TACREV dataset?","[22309, 22488, 22532, 22324, 22340, 22490, 22341, 22336, 22451, 22337]","[22336, 22323]","8","0.5","0-75"
"0.5","2303.08559v2","Academic paper","Repeat the instructions corresponding to the settings shown in red box of Figure 3 (left).","[22450, 24245, 3238, 23955, 12947, 24481, 3727, 25593, 24572, 22899]","[22464, 22465, 22466, 22467, 22277, 22286, 22463]","Not Found","0.0","0-75"
"0.5","2303.08559v2","Academic paper","Tell me the prompt template used for label 'Contact.Meet' in filter-then-rerank method of this work. ","[22532, 22260, 22549, 10752, 22247, 22671, 12729, 4697, 2663, 22340]","[22548, 22549]","3","0.5","0-75"
"0.5","2303.08559v2","Academic paper","If I drop the green module shown in Figure 6,  what is the absolute percentage drop on 100-shot TACREV setting?","[22336, 22451, 22337, 22547, 22476, 22309, 22341, 22278, 23864, 22315]","[22323, 22341]","7","0.5","0-75"
"0.5","05-03-18-political-release","Research report / Introduction","Among the adults conducted the survey on April 25 - May 1 2018, how many adults rated Trump's government ethical standards as poor? ","[97, 70, 75, 78, 24, 26, 76, 25, 66, 74]","[30, 15]","Not Found","0.0","0-75"
"0.5","05-03-18-political-release","Research report / Introduction","According to the survey on April 25 - May 1, 2018, what are the domains with the highest percentage that adults are very confident and not at all confident of Donald Trump's govenment? Please write the answer in the list format and with alphabetical order, e.g., [""A"",""B""]","[139, 49, 743, 430, 476, 568, 41, 739, 19, 944]","[41, 19]","7","1.0","0-75"
"0.5","05-03-18-political-release","Research report / Introduction","What percentage of the party that holds the highest total percentage of good policy ideas and high ethical standards reported that they followed the news about congressional elections in their state very closely in the survey of U.S. adults conducted from April 25 to May 1, 2018?","[97, 105, 109, 107, 99, 30, 103, 70, 108, 25]","[97, 105, 106, 107, 112, 113, 114, 115, 94]","1","0.33","0-75"
"0.5","05-03-18-political-release","Research report / Introduction","What is the percentage of registered voters who support or lean toward the candidate from the party with the higher total percentage of good policy ideas and high ethical standards and closely follow congressional elections in their district in the survey of U.S. adults conducted April 25 - May 1, 2018?","[97, 30, 105, 107, 109, 1009, 61, 944, 805, 25]","[97, 118, 124, 125, 126]","1","0.2","0-75"
"0.5","05-03-18-political-release","Research report / Introduction","What is the percentage gap between the youngest age group and the oldest age group that strongly disapproves of the way the president, who started his job in 2018, was handling his job in the survey of U.S. adults conducted April 25-May 1, 2018? Please write the answer in float format","[845, 879, 91, 139, 14381, 898, 4476, 944, 118, 324]","[89, 61, 70]","Not Found","0.0","0-75"
"0.5","05-03-18-political-release","Research report / Introduction","How many Demoncratic people in the survey of U.S. adults conducted April 25- May 1, 2019 said neither the Republican Party nor the Democratic Party  has ‘high ethical standards'?","[97, 107, 26, 30, 102, 109, 103, 104, 76, 25]","[105, 106, 139, 140, 138, 141, 94]","Not Found","0.0","0-75"
"0.5","0b85477387a9d0cc33fca0f4becaa0e5","Administration/Industry file","Who is the commanding officer in the first figure on the second page?","[7045, 25137, 7043, 191, 192, 24172, 241, 25862, 25860, 16141]","[165]","Not Found","0.0","0-75"
"0.5","0b85477387a9d0cc33fca0f4becaa0e5","Administration/Industry file","Who Visited the U.S. Naval Medical Research centre on November 29, 2012 in the document?","[154, 251, 304, 218, 352, 219, 367, 289, 335, 295]","[158]","Not Found","0.0","0-75"
"0.5","0b85477387a9d0cc33fca0f4becaa0e5","Administration/Industry file","With whom did the NAMRU-3 team visit Monrovia, Liberia, in November 2012? Enumerate their names within a list.","[239, 248, 246, 241, 245, 240, 236, 243, 237, 242]","[242]","10","1.0","0-75"
"0.5","0b85477387a9d0cc33fca0f4becaa0e5","Administration/Industry file","Among all the pictures, how many of them contain only one person?","[25374, 25102, 20128, 24007, 24806, 25375, 544, 25097, 24928, 25656]","[162, 166, 198, 328, 345, 189, 191]","Not Found","0.0","0-75"
"0.5","0b85477387a9d0cc33fca0f4becaa0e5","Administration/Industry file","Among all the pictures, in which page the picture contains the most number of people? Give me the page no. as an integer.","[24359, 241, 24806, 242, 24362, 25066, 24686, 24943, 24688, 25357]","[266, 250]","Not Found","0.0","0-75"
"0.5","2310.07609v1","Academic paper","How many numbers with blue color are mentioned in the example figure of question-guidue reasoning?","[23905, 23182, 13322, 25432, 25397, 24337, 24223, 24700, 25494, 25787]","[26266]","Not Found","0.0","0-75"
"0.5","2310.07609v1","Academic paper","In the proposed system, how many modules are implemented with Large Language Models backbone?","[12889, 22254, 22247, 22303, 22459, 13152, 23580, 25991, 25989, 22499]","[26274]","Not Found","0.0","0-75"
"0.5","2310.07609v1","Academic paper","In the figure that locates at the top of page 5, what is the final step? Please write down the answer in string format.","[22668, 26076, 3311, 24795, 24569, 3313, 24177, 24853, 26314, 18290]","[26303]","Not Found","0.0","0-75"
"0.5","2310.07609v1","Academic paper","What is the color of the model rectangle in the figure of page 4 that appears both in QA model and Reasone moduler in the paper?","[23069, 23538, 26271, 23061, 26309, 26315, 23563, 24817, 26305, 26314]","[26293, 26279]","Not Found","0.0","0-75"
"0.5","2310.07609v1","Academic paper","How many prompts instruction examples are listed in the main body of the paper? Please writhe down the answer in float format.","[3681, 23718, 24481, 23153, 23871, 24575, 23956, 24628, 24486, 23870]","[26283, 26287, 26289, 26291, 26301]","Not Found","0.0","0-75"
"0.5","2310.07609v1","Academic paper","What is the average performance gap between the ProgramFC performance and our proposed system in the HOVER dataset? Please write down the answer in float format with 2 decimals.","[12943, 12958, 12939, 12960, 12938, 26309, 12950, 12948, 22447, 12944]","[26309]","6","1.0","0-75"
"0.5","2303.05039v2","Academic paper","How many items in total of Amazon related datasets in the paper? Please write the answer in int format. ","[22213, 22178, 22185, 22224, 22208, 22188, 22187, 22182, 23824, 22176]","[22189]","Not Found","0.0","0-75"
"0.5","2303.05039v2","Academic paper","What is the average number of words per user used for the experiments in the dataset from which a data sample of a user's Receptiviti score is shown? Please write the answer in float format.","[22205, 22182, 22210, 22183, 23492, 22185, 22189, 22235, 3261, 22153]","[22189]","7","1.0","0-75"
"0.5","2303.05039v2","Academic paper","What is the color of the personality vector in the soft-labled  personality embedding matrix that with the highest Receptiviti score for User A2GBIFL43U1LKJ?","[22184, 22197, 3234, 22205, 23155, 22199, 25885, 23956, 3574, 3191]","[22184, 22170, 22197]","1","0.67","0-75"
"0.5","2303.05039v2","Academic paper","What are the personality scores of the data sample with extreme personality cases, in which the personality vector color is blue in the overall model structure? Please write down the answer in list format with ascending order, e.g., [""1"",""2""]","[23575, 25899, 22309, 1090, 3266, 3265, 3731, 23523, 22933, 3568]","[22209, 22197]","Not Found","0.0","0-75"
"0.5","2303.05039v2","Academic paper","What is the highest hit rate number in the dataset for the personality located furthest to the left in the distribution of personality traits figure?","[22210, 22230, 3334, 26031, 22229, 22447, 3333, 3731, 12953, 23731]","[22210, 22229]","1","1.0","0-75"
"0.5","2303.05039v2","Academic paper","What is the evaluation metric that has highest number for the method located at the bottom of the model structure figure across the three datasets? Please write down the answer with string format.","[23414, 23686, 22867, 23684, 3735, 13208, 3058, 23373, 3373, 22111]","[22210, 22229]","Not Found","0.0","0-75"
"0.5","2305.13186v3","Academic paper","How many green and grey rectangles in the first figure of the paper? Please list the numbers in the list format by descending order. e.g., [""2"",""1""]","[24829, 24834, 24907, 24839, 24651, 25880, 24293, 24174, 24648, 24170]","[22561]","Not Found","0.0","0-75"
"0.5","2305.13186v3","Academic paper","How many reasoning steps are involved in the figure 1 in the paper? ","[13056, 24575, 22798, 12909, 12888, 12907, 13055, 22897, 22788, 12908]","[22561]","Not Found","0.0","0-75"
"0.5","2305.13186v3","Academic paper","How many more claims does the Wiki Table datasets have comparing to scientific articles datasets? Please writeh the answer in int format. ","[13215, 22579, 22593, 22626, 2548, 12950, 22624, 22451, 22453, 22558]","[22579, 22571]","2","0.5","0-75"
"0.5","2305.13186v3","Academic paper","How many USD dollars will the author spend if the annotators finish annotating all of claims of the authors' proposed dataset? Please write the answer in float format.","[22568, 26167, 22907, 2730, 3828, 22608, 22579, 23731, 3886, 12950]","[22579, 22571, 22580]","7","0.33","0-75"
"0.5","2305.13186v3","Academic paper","How many claims are with the highest percentage of reasoning steps  in the author's proposed dataset?","[22590, 12894, 12950, 22560, 13201, 12913, 22585, 26268, 12889, 22591]","[22571, 22578, 22579, 22585, 22586, 22587, 22588, 22589]","7","0.12","0-75"
"0.5","2309.17421v2","Academic paper","In Figure 122, what's the colour of OSCARb in the prompt?","[25900, 23559, 23977, 24486, 25903, 12916, 25925, 25771, 25386, 25725]","[25899]","Not Found","0.0","0-75"
"0.5","2309.17421v2","Academic paper","In Figure 113, what's the name of the music app shown in the computer screen?","[25528, 25781, 6958, 6945, 4413, 6959, 5121, 6884, 6881, 4753]","[25777]","Not Found","0.0","0-75"
"0.5","2309.17421v2","Academic paper","In Figure 111, what's the price of the keyboard shown in the screenshot?","[6964, 25758, 25725, 25750, 25716, 25705, 25700, 25733, 25761, 25744]","[25747, 25758]","2","0.5","0-75"
"0.5","2309.17421v2","Academic paper","In Figure 107, what's the battery percentage shown in the screenshot?","[25717, 25736, 25832, 25703, 25527, 25767, 22866, 17569, 22863, 25706]","[25714, 25703]","4","0.5","0-75"
"0.5","2309.17421v2","Academic paper","In Figure 101, which country is the person on the cover of the news on the politico website from?","[24884, 25627, 7178, 25650, 25619, 6451, 8868, 7181, 6255, 25652]","[25650, 25639]","4","0.5","0-75"
"0.5","2309.17421v2","Academic paper","In Figure 89, what is the brand name of the coffee machine in the picture?","[25483, 25484, 25477, 25482, 25475, 25474, 25466, 25472, 23858, 25465]","[25481, 25473]","Not Found","0.0","0-75"
"0.5","2005.12872v3","Academic paper","According to the DETR PyTorch inference code, what is the output dimension of the linear_class layer?","[22273, 22785, 1174, 13384, 22747, 1171, 10752, 2811, 1176, 22775]","[1176, 1177, 1175]","9","0.33","0-75"
"0.5","2005.12872v3","Academic paper","When number of visible instances = 60, which category has the largest proportion of missed instances?","[1170, 1168, 23140, 23142, 25882, 3844, 266, 3845, 6292, 2857]","[1170]","1","1.0","0-75"
"0.5","2005.12872v3","Academic paper","What's the AP50 value of DETR with L1 loss and without GIoU loss on the COCO validation set?","[1082, 1160, 1117, 1059, 1093, 1161, 1075, 2864, 1071, 1097]","[1097]","10","1.0","0-75"
"0.5","2005.12872v3","Academic paper","According to Fig 10 architecture of DETR’s transformer, what is the colour of the Multi-Head Self-Attention layer?","[1153, 1152, 1065, 1086, 1073, 1110, 1064, 1117, 1024, 1082]","[1153]","1","1.0","0-75"
"0.5","2005.12872v3","Academic paper","How many multi-head self-attention layers does DETR's default structure have?","[1153, 1065, 1152, 1082, 1086, 1064, 1094, 1085, 1155, 9689]","[1153, 1082]","1","1.0","0-75"
"0.5","12-15-15-ISIS-and-terrorism-release-final","Research report / Introduction","In 2015, how many percentage of surveyed adults, Republicans, and Democrats believed that the goverment was doing very/fairly well in reducing the threat of terrorism? Please write the answer in list format, e.g., [""3"",""2""]","[869, 879, 873, 959, 877, 870, 876, 875, 865, 888]","[867, 868, 869, 870, 871, 872, 873, 787]","1","0.38","0-75"
"0.5","12-15-15-ISIS-and-terrorism-release-final","Research report / Introduction","In 2015, among all those that are considered as bigger threats to well-being of the United States compared to August 2014, which one has the biggest R-D difference? ","[912, 901, 865, 908, 738, 911, 8998, 910, 978, 3265]","[912, 906]","1","0.5","0-75"
"0.5","12-15-15-ISIS-and-terrorism-release-final","Research report / Introduction","How many bar charts are in the report?Please write the answer in float format.","[935, 746, 19, 990, 549, 842, 23345, 23700, 516, 575]","[802]","Not Found","0.0","0-75"
"0.5","12-15-15-ISIS-and-terrorism-release-final","Research report / Introduction","although few says that current military effort in Iraq and Syria is going well,  what are the more people's attitude in still believe that the U.S. and its allies in the ISIS flight in the end in 2015?","[917, 930, 921, 934, 920, 792, 927, 948, 970, 929]","[935]","Not Found","0.0","0-75"
"0.5","2023.findings-emnlp.248","Academic paper","For the dataset that uses Prover9 as the symbolic solver, how many examples in this dataset are used for evaluation?","[13184, 13201, 22624, 12950, 13004, 22922, 13186, 22884, 13312, 13219]","[13184, 13188, 13189, 13199, 13200, 13201, 13202, 13203, 13204, 13205]","1","0.2","0-75"
"0.5","2023.findings-emnlp.248","Academic paper","For all the examples given in Figure 5 and Figure 6, how many of them Logic-LM predicted the correct answer?","[12950, 22275, 24483, 3727, 22912, 13232, 12909, 22311, 13231, 24852]","[13386, 13387, 13228, 13389, 13388, 13390, 13391, 13392, 13393, 13394]","Not Found","0.0","0-75"
"0.5","2023.findings-emnlp.248","Academic paper","When using GPT-4 as the base language model, how many datasets does Logic-LM (without self-refinement) outperform the two baseline models in? ","[13152, 13223, 23879, 13208, 23626, 23466, 12958, 23816, 22991, 3052]","[13208]","4","1.0","0-75"
"0.5","2023.findings-emnlp.248","Academic paper","In this paper, what symbolic solver is used to implement the logic programming module shown in Figure 1?","[13157, 12886, 13175, 13235, 12887, 13174, 9075, 13155, 13170, 22492]","[13184, 13155]","8","0.5","0-75"
"0.5","2023.findings-emnlp.248","Academic paper","Which dataset used in this paper was proposed in 2022 and all of its logical reasoning problems are multiple-choice questions with 5 options?","[13207, 13310, 2634, 12952, 13218, 22059, 12950, 13314, 12953, 13316]","[13203, 13204, 13205, 13304, 13310]","2","0.2","0-75"
"0.5","2023.acl-long.386","Academic paper","What are the program execution function names with blue background in our proposed model in the first figure in the paper?  Please write down the answer in a list format with ascending alphabetical order, e.g., [""a"",""b""]","[24772, 24575, 12908, 12912, 12909, 12888, 22722, 12925, 2916, 12955]","[12887]","Not Found","0.0","0-75"
"0.5","2023.acl-long.386","Academic paper","How many prompts examples are shown in the paper's main body?","[3681, 23445, 23831, 23153, 3683, 23871, 23956, 24407, 26151, 24630]","[12921, 12917, 12919]","Not Found","0.0","0-75"
"0.5","2023.acl-long.386","Academic paper","How many complete in-context examples are shown in the figure at the top of page 6985? Please write down the answer with integer format.","[24019, 23164, 2908, 23124, 23176, 2897, 24018, 12913, 23963, 23141]","[12925]","Not Found","0.0","0-75"
"0.5","2023.acl-long.386","Academic paper","Which type of semantic errors has the lowest total percentages in HOVER dataset?","[12952, 12953, 12950, 26061, 3471, 12960, 12964, 22623, 12928, 13072]","[12948, 12958]","Not Found","0.0","0-75"
"0.5","2023.acl-long.386","Academic paper","What is the performance of the InstructGPT model with Self-Ask in the closed-book setting on the dataset with the highest ProgramFC retrieval recall at 10? Please write down the answer in float format with 1 decimal.","[12958, 26309, 22341, 22340, 22573, 22295, 22455, 22630, 23129, 3036]","[12944, 12948, 12933, 12958]","1","0.25","0-75"
"0.5","2023.acl-long.386","Academic paper","Please list the F1 scores for ProgramFC on different datasets with gold evidence in relation to Flan-T5-small, in descending order, with one decimal place. For example: [""3.0"", ""2.0""].","[12943, 12940, 26311, 22886, 26073, 26078, 26309, 3074, 12958, 3360]","[12932, 12943]","1","0.5","0-75"
"0.5","11-21-16-Updated-Post-Election-Release","Research report / Introduction","What is the highest point of % of voters who say there was more mudslinging than in past elections?","[460, 694, 695, 697, 458, 702, 696, 700, 698, 699]","[460, 452]","1","0.5","0-75"
"0.5","11-21-16-Updated-Post-Election-Release","Research report / Introduction","Do more men or women (in %) think a female president will be elected in a lifetime?","[483, 6356, 479, 126, 11219, 91, 832, 11090, 8503, 23789]","[483]","1","1.0","0-75"
"0.5","11-21-16-Updated-Post-Election-Release","Research report / Introduction","How many line plots are there in the report?","[22279, 22309, 3740, 22277, 49, 935, 23736, 3739, 22280, 533]","[705, 706, 452, 422, 460, 687, 688, 694, 698]","Not Found","0.0","0-75"
"0.5","11-21-16-Updated-Post-Election-Release","Research report / Introduction","Who has a higher median campaign grade? Trump or Clinton?","[655, 23717, 699, 677, 648, 456, 464, 652, 741, 627]","[650, 635, 638]","Not Found","0.0","0-75"
"0.5","11-21-16-Updated-Post-Election-Release","Research report / Introduction","How many charts are related to mudslinging?","[460, 698, 694, 11076, 702, 701, 700, 696, 695, 24403]","[698, 460, 452, 694]","1","0.75","0-75"
"0.5","11-21-16-Updated-Post-Election-Release","Research report / Introduction","How many % of voters reactions are ""uneasy"" and ""excited"" about Trump's victory?","[467, 469, 507, 468, 466, 465, 497, 501, 528, 503]","[472, 467]","1","0.5","0-75"
"0.5","11-21-16-Updated-Post-Election-Release","Research report / Introduction","How many % of voters reactions are ""angry"" about Trump's victory?","[467, 507, 501, 463, 472, 488, 503, 498, 486, 630]","[467]","1","1.0","0-75"
"0.5","2306.05425v1","Academic paper","What task is on the top of the planning branch of the tree?","[2517, 2930, 23037, 5107, 22710, 3397, 17422, 25267, 26342, 24580]","[23121]","Not Found","0.0","0-75"
"0.5","2306.05425v1","Academic paper","How many bar plots (including subplots) are in this paper?","[23715, 23736, 23732, 22960, 23415, 3568, 22124, 24483, 23568, 23670]","[23171, 23156, 23182]","Not Found","0.0","0-75"
"0.5","2306.05425v1","Academic paper","According to the figure, what is the first step of cold start?","[23145, 14410, 22027, 24575, 23140, 22104, 22073, 2433, 16456, 16006]","[23140]","5","1.0","0-75"
"0.5","2306.05425v1","Academic paper","What sport is shown in the visual examples of MIMIC-IT and Otter?","[23125, 23163, 23178, 23126, 23166, 23173, 23117, 23192, 19680, 23171]","[23140, 23134]","Not Found","0.0","0-75"
"0.5","2306.05425v1","Academic paper","How many languages are shown in the in-context examples for multi-lingual translation query?","[23124, 23140, 23249, 3640, 2747, 3367, 3288, 3471, 23190, 22285]","[23252]","Not Found","0.0","0-75"
"0.5","2306.05425v1","Academic paper","How many line plots are shown in the paper?","[22309, 22279, 22277, 49, 22280, 935, 22128, 3740, 23736, 746]","[23171, 23182]","Not Found","0.0","0-75"
"0.5","2210.02442v1","Academic paper","How many figures convey similar messages as the first figure?","[23458, 23459, 23694, 23748, 2852, 3311, 23437, 2715, 23958, 2898]","[22108, 22122, 22028, 22119]","Not Found","0.0","0-75"
"0.5","2210.02442v1","Academic paper","How many strategies outperform the random selection baseline on CIFAR-10-LT?","[22104, 22022, 22124, 22103, 22057, 22119, 22067, 22059, 22055, 22032]","[22056, 22062]","Not Found","0.0","0-75"
"0.5","2210.02442v1","Academic paper","What querying criteria yields the worst label diversity generally on all the datasets?","[22057, 22108, 22117, 22118, 22059, 22121, 22036, 22127, 22032, 22030]","[22040, 22111]","Not Found","0.0","0-75"
"0.5","2210.02442v1","Academic paper","How many line plots are in this paper?","[22309, 22279, 22277, 22280, 49, 935, 3740, 23736, 746, 3655]","[22128, 22129, 22062, 22070]","Not Found","0.0","0-75"
"0.5","2210.02442v1","Academic paper","What are the optimizers used in this research?","[23095, 12208, 829, 8768, 13826, 2548, 2805, 14625, 14894, 8775]","[22104]","Not Found","0.0","0-75"
"0.5","2210.02442v1","Academic paper","On the dataset map of PathMNIST, does the map by ground truth or pseudo-labels have a larger confidence variance?","[22126, 22127, 22044, 22067, 22048, 2712, 22062, 22113, 23563, 13048]","[22124, 22126]","1","0.5","0-75"
"0.5","2307.09288v2","Academic paper","list the top-3 models in Figure 3","[2907, 23559, 23563, 23473, 23344, 22279, 23686, 23575, 22336, 3991]","[23345, 23339]","Not Found","0.0","0-75"
"0.5","2307.09288v2","Academic paper","which model performs best in 0-shot setting on QUAC dataset according to Table 23?","[23678, 23684, 1080, 23685, 22864, 2716, 23683, 24486, 23373, 23681]","[23681, 23684]","2","1.0","0-75"
"0.5","2307.09288v2","Academic paper","How many slots are missed in Table 21?","[3992, 23676, 3967, 4003, 3954, 378, 3334, 22064, 3241, 22886]","[23682]","Not Found","0.0","0-75"
"0.5","2307.09288v2","Academic paper","How many datasets are reported in Pages 49-50?","[22563, 22309, 22230, 3662, 22455, 13214, 23166, 22229, 12932, 22178]","[23680, 23681, 23682, 23683, 23684, 23685, 23660, 23669, 23670]","Not Found","0.0","0-75"
"0.5","2307.09288v2","Academic paper","How many more emojis does the right subfig have than the left subfig in Figure 9?","[22122, 22668, 380, 3445, 25908, 24882, 378, 2691, 24421, 24390]","[23448]","Not Found","0.0","0-75"
"0.5","2305.14160v4","Academic paper","Does the mean significance of information flow from the text part to label words always greater than the mean significance of information flow from label words to the target position? Answer 'yes' or 'no' directly.","[22916, 22914, 22915, 22917, 22923, 22920, 22924, 22922, 22918, 22921]","[22914, 22915, 22916, 22917, 22918, 22927, 22928, 22911]","1","0.62","0-75"
"0.5","2305.14160v4","Academic paper","Does the  information flow from label words to the target position dominate in all layers? Answer 'yes' or 'no' directly.","[22946, 22923, 22903, 22956, 23056, 23057, 22916, 22938, 22947, 22900]","[22933, 22926]","Not Found","0.0","0-75"
"0.5","2305.14160v4","Academic paper","Does randomly isolating non-label words within the last 5 layers have almost no impact? Answer 'yes' or 'no' directly.","[22933, 23090, 22936, 22984, 22986, 23065, 22903, 22932, 23074, 23062]","[22933]","1","1.0","0-75"
"0.5","2305.14160v4","Academic paper","How much does the Anchor Re-weighting method improve the performance of vanilla ICL on average?","[22972, 22904, 22974, 22311, 22966, 22954, 22979, 23095, 22951, 23012]","[22979]","7","1.0","0-75"
"0.5","2305.14160v4","Academic paper","Using anchor-only context compression, how much can GPT2-XL speed up on AGNews?","[23095, 22991, 22893, 22922, 22904, 22986, 22979, 23012, 25526, 23074]","[22991]","2","1.0","0-75"
"0.5","2305.14160v4","Academic paper","What is the most confusing category of Abbreviation?","[23112, 23003, 23002, 3988, 23048, 20188, 23505, 23006, 23508, 20185]","[23002, 23003]","2","1.0","0-75"
"0.5","2021-Apple-Catalog","Brochure","How many different iPad solutions are shown in the document?","[20747, 7154, 6855, 7114, 15438, 6955, 6951, 6887, 13097, 19719]","[6881]","Not Found","0.0","0-75"
"0.5","2021-Apple-Catalog","Brochure","Regarding macbook high security solution, which numbers of features are not presented in the illustration?","[6980, 6964, 7175, 7135, 6979, 6993, 6991, 7078, 7166, 6966]","[6980]","1","1.0","0-75"
"0.5","2021-Apple-Catalog","Brochure","One40 can only be used for Apple Watch, is that true? Please directly answer 'yes' or 'no'.","[7176, 7187, 7025, 7185, 4117, 7090, 7054, 7178, 7006, 7005]","[6915, 7020, 7027]","Not Found","0.0","0-75"
"0.5","2020.acl-main.408","Academic paper","Are LIME and Alvarez-Melis and Jaakkola (2017) methods dependent on model properties?","[2650, 23375, 23373, 23472, 13045, 23561, 23485, 3739, 23497, 22254]","[2650]","1","1.0","0-75"
"0.5","2020.acl-main.408","Academic paper","On which platform were the annotations for the BoolQ dataset collected?","[2664, 2654, 23624, 2791, 23815, 2786, 2799, 2789, 2716, 2712]","[2799]","7","1.0","0-75"
"0.5","2020.acl-main.408","Academic paper","Which model combination for the Evidence Inference dataset has the highest AUPRC value?","[2716, 22885, 2811, 22886, 26067, 1080, 13049, 2631, 23089, 23685]","[2716]","1","1.0","0-75"
"0.5","2020.acl-main.408","Academic paper","For the BoolQ dataset, calculate the difference between the highest and lowest AUPRC values. Which model combinations correspond to these values?","[2716, 23681, 23669, 23580, 23680, 1075, 23682, 2724, 24601, 22072]","[2716]","1","1.0","0-75"
"0.5","2020.acl-main.408","Academic paper","Which dataset has the highest Cohen kappa score reported in Table 2?","[2671, 2674, 3731, 22205, 3575, 23492, 22488, 7202, 2792, 22838]","[2674]","2","1.0","0-75"
"0.5","2020.acl-main.45","Academic paper","How does the paper propose to calculate the coefficient α for the Weighted Cross Entropy Loss?","[3006, 3004, 3005, 3001, 1024, 2532, 2518, 3942, 1117, 3002]","[3006]","1","1.0","0-75"
"0.5","2020.acl-main.45","Academic paper","Is the OntoNotes4.0 dataset used for the Named Entity Recognition task Chinese or English?","[22277, 3165, 22429, 3048, 22455, 22453, 2981, 22430, 3081, 3050]","[3081, 3068]","9","0.5","0-75"
