"lambda_rel","doc_name","domain","question","layout_retrieved","gt","first_hit_rank","recall","source_range","source_file"
"0.0","2310.05634v2","Academic paper","From the paper, which temperature gives ChatGPT the highest alignment score?","[26079, 26065, 26082, 26062, 23799, 26084, 23798, 23182, 23345, 13207]","[26064, 26062]","4","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2310.05634v2","Academic paper","For dataset construction, which step takes the most word to describe than the others. ","[22185, 26007, 22182, 22183, 22176, 2791, 3721, 22922, 2984, 2874]","[26144, 26145, 26146, 26147, 26148, 26149, 26150, 26151, 26138, 26141, 26142, 26143]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2310.05634v2","Academic paper","According to author's definition on conscious incompetence, when can a sentence map to both [NA] and a list of sub-graph knowledge?","[26003, 26026, 26047, 26045, 26038, 26049, 26048, 26074, 25996, 25999]","[26002, 26003, 26004]","1","0.33","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2024.ug.eprospectus","Brochure","Which groups of applicants have the lastest end of application period according to this brochure?","[20153, 15063, 2143, 2211, 20173, 20906, 1955, 21640, 1772, 14282]","[20153]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2024.ug.eprospectus","Brochure","Among the top 10 reasons why NTU smart campus is for you, which is the reason that does not include any person in the corresponding figure?","[19602, 19604, 20056, 19587, 19601, 19951, 20055, 20118, 20037, 20131]","[19602]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2024.ug.eprospectus","Brochure","Student from which major has a picture of playing badminton in this brochure?","[20095, 23121, 24337, 25260, 25261, 23163, 26244, 25038, 24970, 24972]","[20097]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2024.ug.eprospectus","Brochure","Which colleges/schools/institutes from NTU use year 3 students as cover page student model?","[19951, 19838, 20134, 19602, 19601, 20056, 20106, 20031, 19699, 20097]","[19696, 19964, 19967]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2303.08559v2","Academic paper","What is the performance of filter-then-rerank methods (w.o. ensemble) on 50-shot TACREV dataset?","[22530, 22309, 22336, 22341, 22532, 22337, 22447, 22324, 22451, 22340]","[22336, 22323]","3","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2303.08559v2","Academic paper","Repeat the instructions corresponding to the settings shown in red box of Figure 3 (left).","[22286, 12926, 12916, 3727, 23930, 23955, 25527, 25058, 23163, 24003]","[22464, 22465, 22466, 22467, 22277, 22286, 22463]","1","0.14","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2303.08559v2","Academic paper","Tell me the prompt template used for label 'Contact.Meet' in filter-then-rerank method of this work. ","[22532, 22303, 22549, 22515, 22550, 22247, 22340, 22260, 22323, 22254]","[22548, 22549]","3","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2303.08559v2","Academic paper","If I drop the green module shown in Figure 6,  what is the absolute percentage drop on 100-shot TACREV setting?","[22336, 22337, 22451, 22278, 22341, 22476, 22309, 22430, 22324, 22447]","[22323, 22341]","5","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","05-03-18-political-release","Research report / Introduction","Among the adults conducted the survey on April 25 - May 1 2018, how many adults rated Trump's government ethical standards as poor? ","[97, 15, 139, 70, 136, 66, 49, 21, 19, 61]","[30, 15]","2","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","05-03-18-political-release","Research report / Introduction","According to the survey on April 25 - May 1, 2018, what are the domains with the highest percentage that adults are very confident and not at all confident of Donald Trump's govenment? Please write the answer in the list format and with alphabetical order, e.g., [""A"",""B""]","[49, 746, 15, 97, 61, 738, 430, 21, 530, 19]","[41, 19]","10","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","05-03-18-political-release","Research report / Introduction","What percentage of the party that holds the highest total percentage of good policy ideas and high ethical standards reported that they followed the news about congressional elections in their state very closely in the survey of U.S. adults conducted from April 25 to May 1, 2018?","[97, 49, 99, 139, 15, 107, 30, 117, 111, 70]","[97, 105, 106, 107, 112, 113, 114, 115, 94]","1","0.22","0-75","trial_report_best_lambda_0.0.csv"
"0.0","05-03-18-political-release","Research report / Introduction","What is the percentage of registered voters who support or lean toward the candidate from the party with the higher total percentage of good policy ideas and high ethical standards and closely follow congressional elections in their district in the survey of U.S. adults conducted April 25 - May 1, 2018?","[97, 126, 121, 139, 15, 125, 746, 444, 630, 626]","[97, 118, 124, 125, 126]","1","0.6","0-75","trial_report_best_lambda_0.0.csv"
"0.0","05-03-18-political-release","Research report / Introduction","What is the percentage gap between the youngest age group and the oldest age group that strongly disapproves of the way the president, who started his job in 2018, was handling his job in the survey of U.S. adults conducted April 25-May 1, 2018? Please write the answer in float format","[61, 91, 21, 19, 97, 15, 993, 64, 986, 49]","[89, 61, 70]","1","0.33","0-75","trial_report_best_lambda_0.0.csv"
"0.0","05-03-18-political-release","Research report / Introduction","How many Demoncratic people in the survey of U.S. adults conducted April 25- May 1, 2019 said neither the Republican Party nor the Democratic Party  has ‘high ethical standards'?","[97, 139, 15, 99, 107, 61, 104, 103, 93, 894]","[105, 106, 139, 140, 138, 141, 94]","2","0.14","0-75","trial_report_best_lambda_0.0.csv"
"0.0","0b85477387a9d0cc33fca0f4becaa0e5","Administration/Industry file","Who is the commanding officer in the first figure on the second page?","[241, 242, 151, 162, 166, 147, 148, 150, 149, 174]","[165]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","0b85477387a9d0cc33fca0f4becaa0e5","Administration/Industry file","Who Visited the U.S. Naval Medical Research centre on November 29, 2012 in the document?","[154, 251, 304, 295, 296, 219, 352, 218, 335, 189]","[158]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","0b85477387a9d0cc33fca0f4becaa0e5","Administration/Industry file","With whom did the NAMRU-3 team visit Monrovia, Liberia, in November 2012? Enumerate their names within a list.","[239, 241, 242, 245, 247, 248, 240, 237, 238, 246]","[242]","3","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","0b85477387a9d0cc33fca0f4becaa0e5","Administration/Industry file","Among all the pictures, how many of them contain only one person?","[25357, 25359, 25366, 25368, 25796, 23299, 20128, 25234, 24947, 23300]","[162, 166, 198, 328, 345, 189, 191]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","0b85477387a9d0cc33fca0f4becaa0e5","Administration/Industry file","Among all the pictures, in which page the picture contains the most number of people? Give me the page no. as an integer.","[23300, 23299, 25357, 25234, 24362, 25359, 23298, 24359, 24353, 24972]","[266, 250]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2310.07609v1","Academic paper","How many numbers with blue color are mentioned in the example figure of question-guidue reasoning?","[13324, 23905, 24871, 26240, 23998, 23951, 3441, 23910, 24007, 13322]","[26266]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2310.07609v1","Academic paper","In the proposed system, how many modules are implemented with Large Language Models backbone?","[26320, 22247, 26281, 25989, 22276, 12889, 22286, 22283, 22284, 23831]","[26274]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2310.07609v1","Academic paper","In the figure that locates at the top of page 5, what is the final step? Please write down the answer in string format.","[24990, 24991, 25045, 23179, 22323, 13055, 25058, 26314, 13231, 12948]","[26303]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2310.07609v1","Academic paper","What is the color of the model rectangle in the figure of page 4 that appears both in QA model and Reasone moduler in the paper?","[26271, 26306, 26293, 26315, 26274, 26305, 3342, 22867, 1112, 26270]","[26293, 26279]","3","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2310.07609v1","Academic paper","How many prompts instruction examples are listed in the main body of the paper? Please writhe down the answer in float format.","[13312, 26172, 22275, 22265, 13062, 12959, 24628, 23251, 23381, 23718]","[26283, 26287, 26289, 26291, 26301]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2310.07609v1","Academic paper","What is the average performance gap between the ProgramFC performance and our proposed system in the HOVER dataset? Please write down the answer in float format with 2 decimals.","[12938, 26309, 12939, 12958, 12960, 12944, 12943, 12964, 12890, 12948]","[26309]","2","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2303.05039v2","Academic paper","How many items in total of Amazon related datasets in the paper? Please write the answer in int format. ","[22188, 22178, 22189, 22185, 22176, 22187, 22230, 22235, 22208, 22182]","[22189]","3","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2303.05039v2","Academic paper","What is the average number of words per user used for the experiments in the dataset from which a data sample of a user's Receptiviti score is shown? Please write the answer in float format.","[22205, 22182, 22153, 22183, 22185, 22235, 22152, 22210, 22189, 22180]","[22189]","9","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2303.05039v2","Academic paper","What is the color of the personality vector in the soft-labled  personality embedding matrix that with the highest Receptiviti score for User A2GBIFL43U1LKJ?","[22184, 22197, 22152, 22153, 22182, 22205, 22180, 22199, 22174, 22242]","[22184, 22170, 22197]","1","0.67","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2303.05039v2","Academic paper","What are the personality scores of the data sample with extreme personality cases, in which the personality vector color is blue in the overall model structure? Please write down the answer in list format with ascending order, e.g., [""1"",""2""]","[22197, 22205, 22210, 22153, 22199, 22198, 22209, 22214, 22233, 22154]","[22209, 22197]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2303.05039v2","Academic paper","What is the highest hit rate number in the dataset for the personality located furthest to the left in the distribution of personality traits figure?","[22210, 22230, 22229, 22212, 22208, 22214, 22205, 22228, 22209, 22224]","[22210, 22229]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2303.05039v2","Academic paper","What is the evaluation metric that has highest number for the method located at the bottom of the model structure figure across the three datasets? Please write down the answer with string format.","[2712, 26309, 3373, 24890, 23414, 13208, 2716, 23821, 22230, 22059]","[22210, 22229]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2305.13186v3","Academic paper","How many green and grey rectangles in the first figure of the paper? Please list the numbers in the list format by descending order. e.g., [""2"",""1""]","[19902, 23910, 19901, 23905, 19897, 19870, 24871, 19822, 19821, 23996]","[22561]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2305.13186v3","Academic paper","How many reasoning steps are involved in the figure 1 in the paper? ","[22588, 22590, 12888, 12909, 24019, 26267, 26314, 26268, 24004, 24008]","[22561]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2305.13186v3","Academic paper","How many more claims does the Wiki Table datasets have comparing to scientific articles datasets? Please writeh the answer in int format. ","[22579, 12928, 22627, 22626, 22593, 12893, 22560, 22583, 22561, 3241]","[22579, 22571]","1","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2305.13186v3","Academic paper","How many USD dollars will the author spend if the annotators finish annotating all of claims of the authors' proposed dataset? Please write the answer in float format.","[22581, 22580, 22608, 2797, 22579, 26167, 2799, 2798, 3834, 22624]","[22579, 22571, 22580]","2","0.67","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2305.13186v3","Academic paper","How many claims are with the highest percentage of reasoning steps  in the author's proposed dataset?","[22590, 22624, 22585, 22587, 22583, 12928, 22579, 22560, 12940, 12955]","[22571, 22578, 22579, 22585, 22586, 22587, 22588, 22589]","3","0.38","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2309.17421v2","Academic paper","In Figure 122, what's the colour of OSCARb in the prompt?","[23977, 25903, 25899, 25900, 25386, 25979, 22694, 25925, 23580, 25892]","[25899]","3","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2309.17421v2","Academic paper","In Figure 113, what's the name of the music app shown in the computer screen?","[25528, 25781, 25527, 25771, 6958, 25777, 6959, 25807, 25767, 6927]","[25777]","6","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2309.17421v2","Academic paper","In Figure 111, what's the price of the keyboard shown in the screenshot?","[25761, 25750, 25527, 6964, 25758, 6958, 25725, 25728, 25706, 25717]","[25747, 25758]","5","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2309.17421v2","Academic paper","In Figure 107, what's the battery percentage shown in the screenshot?","[25767, 25717, 25670, 25736, 25527, 9656, 25703, 8385, 25137, 25832]","[25714, 25703]","7","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2309.17421v2","Academic paper","In Figure 101, which country is the person on the cover of the news on the politico website from?","[25650, 25627, 25619, 25639, 317, 24884, 25653, 25663, 25642, 544]","[25650, 25639]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2309.17421v2","Academic paper","In Figure 89, what is the brand name of the coffee machine in the picture?","[25466, 25484, 25477, 25483, 25474, 25475, 23858, 25482, 24326, 25473]","[25481, 25473]","10","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2005.12872v3","Academic paper","According to the DETR PyTorch inference code, what is the output dimension of the linear_class layer?","[1175, 1153, 1067, 1152, 1062, 1178, 1024, 1066, 2911, 1065]","[1176, 1177, 1175]","1","0.33","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2005.12872v3","Academic paper","When number of visible instances = 60, which category has the largest proportion of missed instances?","[1170, 1168, 1104, 22119, 22055, 23142, 3476, 1169, 1113, 22122]","[1170]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2005.12872v3","Academic paper","What's the AP50 value of DETR with L1 loss and without GIoU loss on the COCO validation set?","[1080, 1071, 1115, 1161, 1110, 1117, 1112, 1082, 1021, 1086]","[1097]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2005.12872v3","Academic paper","According to Fig 10 architecture of DETR’s transformer, what is the colour of the Multi-Head Self-Attention layer?","[1153, 1152, 1064, 1086, 1110, 1066, 1065, 1107, 1117, 1073]","[1153]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2005.12872v3","Academic paper","How many multi-head self-attention layers does DETR's default structure have?","[1153, 1152, 1086, 1066, 1065, 1064, 1107, 1085, 1110, 1073]","[1153, 1082]","1","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","12-15-15-ISIS-and-terrorism-release-final","Research report / Introduction","In 2015, how many percentage of surveyed adults, Republicans, and Democrats believed that the goverment was doing very/fairly well in reducing the threat of terrorism? Please write the answer in list format, e.g., [""3"",""2""]","[869, 873, 879, 998, 870, 876, 783, 868, 894, 877]","[867, 868, 869, 870, 871, 872, 873, 787]","1","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","12-15-15-ISIS-and-terrorism-release-final","Research report / Introduction","In 2015, among all those that are considered as bigger threats to well-being of the United States compared to August 2014, which one has the biggest R-D difference? ","[912, 906, 790, 898, 903, 901, 908, 910, 907, 21]","[912, 906]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","12-15-15-ISIS-and-terrorism-release-final","Research report / Introduction","How many bar charts are in the report?Please write the answer in float format.","[935, 746, 22111, 14385, 23731, 19, 23182, 670, 22124, 23725]","[802]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","12-15-15-ISIS-and-terrorism-release-final","Research report / Introduction","although few says that current military effort in Iraq and Syria is going well,  what are the more people's attitude in still believe that the U.S. and its allies in the ISIS flight in the end in 2015?","[930, 917, 924, 927, 921, 925, 934, 931, 929, 958]","[935]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2023.findings-emnlp.248","Academic paper","For the dataset that uses Prover9 as the symbolic solver, how many examples in this dataset are used for evaluation?","[13184, 13201, 13004, 13222, 13152, 13190, 12928, 13215, 13310, 13200]","[13184, 13188, 13189, 13199, 13200, 13201, 13202, 13203, 13204, 13205]","1","0.3","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2023.findings-emnlp.248","Academic paper","For all the examples given in Figure 5 and Figure 6, how many of them Logic-LM predicted the correct answer?","[13231, 13312, 13223, 13222, 13174, 22275, 22311, 13224, 13318, 13155]","[13386, 13387, 13228, 13389, 13388, 13390, 13391, 13392, 13393, 13394]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2023.findings-emnlp.248","Academic paper","When using GPT-4 as the base language model, how many datasets does Logic-LM (without self-refinement) outperform the two baseline models in? ","[13223, 13152, 13208, 13211, 22336, 23862, 13239, 13207, 22630, 13210]","[13208]","3","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2023.findings-emnlp.248","Academic paper","In this paper, what symbolic solver is used to implement the logic programming module shown in Figure 1?","[13157, 13235, 13169, 13152, 13175, 13155, 13222, 13188, 13217, 13210]","[13184, 13155]","6","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2023.findings-emnlp.248","Academic paper","Which dataset used in this paper was proposed in 2022 and all of its logical reasoning problems are multiple-choice questions with 5 options?","[13207, 13205, 13174, 13159, 13203, 13184, 13170, 13201, 3721, 13152]","[13203, 13204, 13205, 13304, 13310]","2","0.4","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2023.acl-long.386","Academic paper","What are the program execution function names with blue background in our proposed model in the first figure in the paper?  Please write down the answer in a list format with ascending alphabetical order, e.g., [""a"",""b""]","[12888, 12887, 12909, 24772, 13113, 13104, 13074, 12923, 12915, 13076]","[12887]","2","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2023.acl-long.386","Academic paper","How many prompts examples are shown in the paper's main body?","[13312, 26172, 22275, 22265, 23251, 12959, 23511, 24628, 13186, 23470]","[12921, 12917, 12919]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2023.acl-long.386","Academic paper","How many complete in-context examples are shown in the figure at the top of page 6985? Please write down the answer with integer format.","[23963, 25134, 23176, 3336, 23121, 23164, 24019, 24018, 24976, 25158]","[12925]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2023.acl-long.386","Academic paper","Which type of semantic errors has the lowest total percentages in HOVER dataset?","[12950, 12953, 12964, 12952, 13072, 12928, 26309, 12960, 12958, 12967]","[12948, 12958]","9","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2023.acl-long.386","Academic paper","What is the performance of the InstructGPT model with Self-Ask in the closed-book setting on the dataset with the highest ProgramFC retrieval recall at 10? Please write down the answer in float format with 1 decimal.","[12958, 12959, 26309, 22453, 12940, 12948, 26310, 12960, 22340, 12889]","[12944, 12948, 12933, 12958]","1","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2023.acl-long.386","Academic paper","Please list the F1 scores for ProgramFC on different datasets with gold evidence in relation to Flan-T5-small, in descending order, with one decimal place. For example: [""3.0"", ""2.0""].","[12943, 12940, 26311, 12958, 26309, 12939, 12946, 22612, 3059, 3074]","[12932, 12943]","1","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","11-21-16-Updated-Post-Election-Release","Research report / Introduction","What is the highest point of % of voters who say there was more mudslinging than in past elections?","[460, 695, 694, 458, 697, 700, 696, 702, 701, 698]","[460, 452]","1","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","11-21-16-Updated-Post-Election-Release","Research report / Introduction","Do more men or women (in %) think a female president will be elected in a lifetime?","[483, 479, 484, 482, 478, 87, 527, 605, 21, 19]","[483]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","11-21-16-Updated-Post-Election-Release","Research report / Introduction","How many line plots are there in the report?","[23717, 22279, 3656, 3655, 22309, 23419, 24019, 24097, 22277, 22028]","[705, 706, 452, 422, 460, 687, 688, 694, 698]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","11-21-16-Updated-Post-Election-Release","Research report / Introduction","Who has a higher median campaign grade? Trump or Clinton?","[654, 648, 650, 656, 456, 653, 651, 649, 652, 655]","[650, 635, 638]","3","0.33","0-75","trial_report_best_lambda_0.0.csv"
"0.0","11-21-16-Updated-Post-Election-Release","Research report / Introduction","How many charts are related to mudslinging?","[460, 694, 698, 695, 693, 700, 702, 699, 697, 701]","[698, 460, 452, 694]","1","0.75","0-75","trial_report_best_lambda_0.0.csv"
"0.0","11-21-16-Updated-Post-Election-Release","Research report / Introduction","How many % of voters reactions are ""uneasy"" and ""excited"" about Trump's victory?","[467, 466, 468, 469, 507, 503, 465, 497, 501, 472]","[472, 467]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","11-21-16-Updated-Post-Election-Release","Research report / Introduction","How many % of voters reactions are ""angry"" about Trump's victory?","[467, 503, 507, 426, 501, 472, 466, 487, 486, 418]","[467]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2306.05425v1","Academic paper","What task is on the top of the planning branch of the tree?","[11704, 23121, 19902, 11630, 17946, 19306, 11636, 11824, 4026, 11690]","[23121]","2","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2306.05425v1","Academic paper","How many bar plots (including subplots) are in this paper?","[22122, 23715, 22128, 22111, 22028, 22124, 23736, 1099, 23731, 935]","[23171, 23156, 23182]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2306.05425v1","Academic paper","According to the figure, what is the first step of cold start?","[23140, 22048, 22126, 22027, 22028, 23145, 22103, 22127, 22033, 22073]","[23140]","1","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2306.05425v1","Academic paper","What sport is shown in the visual examples of MIMIC-IT and Otter?","[23126, 23166, 23192, 23173, 23125, 23178, 23117, 23172, 23188, 23171]","[23140, 23134]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2306.05425v1","Academic paper","How many languages are shown in the in-context examples for multi-lingual translation query?","[23249, 23140, 23194, 3342, 23252, 3309, 23124, 3294, 23134, 23246]","[23252]","5","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2306.05425v1","Academic paper","How many line plots are shown in the paper?","[23717, 22309, 3656, 3655, 22279, 22947, 24019, 24102, 24125, 24114]","[23171, 23182]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2210.02442v1","Academic paper","How many figures convey similar messages as the first figure?","[23458, 24007, 23996, 23998, 25061, 23909, 24990, 19816, 400, 24991]","[22108, 22122, 22028, 22119]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2210.02442v1","Academic paper","How many strategies outperform the random selection baseline on CIFAR-10-LT?","[22057, 22124, 22062, 22059, 22067, 22022, 22058, 22125, 22119, 22123]","[22056, 22062]","3","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2210.02442v1","Academic paper","What querying criteria yields the worst label diversity generally on all the datasets?","[22108, 22055, 22113, 22117, 22030, 22075, 22127, 22111, 22124, 22118]","[22040, 22111]","8","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2210.02442v1","Academic paper","How many line plots are in this paper?","[23717, 3656, 3655, 22309, 22279, 22947, 22028, 24019, 22128, 24114]","[22128, 22129, 22062, 22070]","9","0.25","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2210.02442v1","Academic paper","What are the optimizers used in this research?","[3648, 1078, 2805, 23021, 22104, 22092, 23095, 4022, 3377, 23094]","[22104]","5","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2210.02442v1","Academic paper","On the dataset map of PathMNIST, does the map by ground truth or pseudo-labels have a larger confidence variance?","[22126, 22127, 22067, 22048, 22113, 22062, 22044, 22059, 22040, 22028]","[22124, 22126]","1","0.5","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2307.09288v2","Academic paper","list the top-3 models in Figure 3","[3559, 23736, 22067, 23344, 23473, 2713, 1095, 3566, 26315, 23561]","[23345, 23339]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2307.09288v2","Academic paper","which model performs best in 0-shot setting on QUAC dataset according to Table 23?","[23678, 23684, 23372, 23683, 23681, 23377, 23668, 3554, 23373, 3058]","[23681, 23684]","2","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2307.09288v2","Academic paper","How many slots are missed in Table 21?","[3992, 23676, 3997, 22532, 3954, 22056, 22093, 4001, 4003, 4000]","[23682]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2307.09288v2","Academic paper","How many datasets are reported in Pages 49-50?","[3896, 23784, 22062, 23821, 22055, 3048, 22476, 23580, 22059, 2791]","[23680, 23681, 23682, 23683, 23684, 23685, 23660, 23669, 23670]","Not Found","0.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2307.09288v2","Academic paper","How many more emojis does the right subfig have than the left subfig in Figure 9?","[24980, 23909, 22122, 24008, 25062, 22686, 23448, 24990, 24991, 25163]","[23448]","7","1.0","0-75","trial_report_best_lambda_0.0.csv"
"0.0","2305.14160v4","Academic paper","Does the mean significance of information flow from the text part to label words always greater than the mean significance of information flow from label words to the target position? Answer 'yes' or 'no' directly.","[22916, 22923, 22914, 22924, 23057, 22917, 22915, 22920, 22903, 22946]","[22914, 22915, 22916, 22917, 22918, 22927, 22928, 22911]","1","0.5","0-75","trial_report_best_lambda_0.0.csv"
